dog_id,hs_health_conditions_eye,hs_health_conditions_ear,hs_health_conditions_oral,hs_health_conditions_skin,hs_health_conditions_cardiac,hs_health_conditions_respiratory,hs_health_conditions_gastrointestinal,hs_health_conditions_liver,hs_health_conditions_kidney,hs_health_conditions_reproductive,hs_health_conditions_orthopedic,hs_health_conditions_neurological,hs_health_conditions_endocrine,hs_health_conditions_hematologic,hs_health_conditions_immune,hs_health_conditions_infectious_disease,hs_health_conditions_toxin_consumption,hs_health_conditions_trauma,hs_health_conditions_cancer
90391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3476,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20897,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
42137,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
80393,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
91490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31125,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
95384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60016,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
54244,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55230,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
42675,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1
83352,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0
77404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62801,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
61524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
64635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
95151,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
28064,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0
66178,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88379,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0
4503,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40879,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87947,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87690,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
92999,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
79804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
50377,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
76065,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
74929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
102714,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
16154,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57419,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0
15104,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
233,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
26157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
92296,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94578,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
102086,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3105,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0
8162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1852,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
29644,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
83175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
6880,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40933,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85173,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
82464,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
87441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
7023,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
81717,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
83340,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
21602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16001,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0
11166,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
71254,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
79687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
30753,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
50326,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
68940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76061,0,1,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
79383,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2287,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
92577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
85835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
35796,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
14449,0,1,0,1,0,0,1,0,0,0,1,1,1,0,0,1,0,0,1
62250,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
22504,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
13873,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
97737,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
69292,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,1
41882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60399,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
81851,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
22556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87835,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
