dog_id,breed_type_Ancient and Spitz,breed_type_Herding dogs,breed_type_Mastiff-Like,breed_type_Mixed,breed_type_Retriever,breed_type_Scent Hounds,breed_type_Spaniels,breed_type_Terriers,breed_type_Toy dogs,breed_type_Working dogs
96001,False,False,False,True,False,False,False,False,False,False
71380,False,False,False,False,False,True,False,False,False,False
4290,False,False,False,False,False,True,False,False,False,False
77764,False,False,False,True,False,False,False,False,False,False
9941,False,False,False,False,False,False,False,True,False,False
14232,False,False,False,False,False,False,True,False,False,False
15533,False,False,False,False,False,False,False,False,False,True
39309,True,False,False,False,False,False,False,False,False,False
77525,False,False,False,True,False,False,False,False,False,False
52471,False,False,True,False,False,False,False,False,False,False
91233,False,False,False,True,False,False,False,False,False,False
90580,False,False,True,False,False,False,False,False,False,False
78226,False,False,True,False,False,False,False,False,False,False
67388,False,True,False,False,False,False,False,False,False,False
73869,True,False,False,False,False,False,False,False,False,False
12726,False,False,True,False,False,False,False,False,False,False
73067,False,True,False,False,False,False,False,False,False,False
37385,False,False,False,False,False,True,False,False,False,False
52445,False,False,False,False,False,True,False,False,False,False
96392,False,False,True,False,False,False,False,False,False,False
54124,False,True,False,False,False,False,False,False,False,False
64834,False,False,False,False,False,True,False,False,False,False
47898,False,False,True,False,False,False,False,False,False,False
88961,False,False,False,False,True,False,False,False,False,False
22629,False,False,False,True,False,False,False,False,False,False
94093,False,False,False,False,True,False,False,False,False,False
93667,False,False,True,False,False,False,False,False,False,False
30906,False,False,False,False,False,False,False,False,False,True
57394,False,False,False,False,True,False,False,False,False,False
63899,False,True,False,False,False,False,False,False,False,False
97112,False,False,False,False,True,False,False,False,False,False
11247,False,False,False,False,False,False,False,False,True,False
1654,False,False,False,False,True,False,False,False,False,False
77117,False,False,True,False,False,False,False,False,False,False
25269,False,False,False,False,False,False,False,False,True,False
42724,False,False,False,False,False,False,True,False,False,False
102584,False,False,False,False,False,False,False,True,False,False
15252,False,False,True,False,False,False,False,False,False,False
19306,False,False,True,False,False,False,False,False,False,False
55691,False,False,False,False,False,False,False,False,False,True
63049,False,False,False,False,False,True,False,False,False,False
99876,False,False,True,False,False,False,False,False,False,False
45006,False,False,False,False,True,False,False,False,False,False
28473,True,False,False,False,False,False,False,False,False,False
3058,False,True,False,False,False,False,False,False,False,False
102257,False,False,False,False,False,False,True,False,False,False
35333,False,False,False,False,False,False,False,False,False,True
46004,False,False,False,False,False,False,False,False,True,False
88130,False,False,False,False,True,False,False,False,False,False
19429,False,False,False,True,False,False,False,False,False,False
55022,False,False,False,True,False,False,False,False,False,False
87785,False,False,False,True,False,False,False,False,False,False
83034,False,True,False,False,False,False,False,False,False,False
60656,True,False,False,False,False,False,False,False,False,False
28297,False,False,True,False,False,False,False,False,False,False
42588,False,False,False,True,False,False,False,False,False,False
71971,False,False,False,False,False,False,False,False,False,True
65399,False,True,False,False,False,False,False,False,False,False
48945,False,False,False,False,True,False,False,False,False,False
313,False,False,False,False,False,True,False,False,False,False
53001,False,False,True,False,False,False,False,False,False,False
36686,False,False,False,True,False,False,False,False,False,False
77429,True,False,False,False,False,False,False,False,False,False
61384,False,False,False,False,False,False,False,True,False,False
29673,False,False,False,False,True,False,False,False,False,False
55283,False,False,False,False,False,False,True,False,False,False
25960,False,True,False,False,False,False,False,False,False,False
64697,False,False,True,False,False,False,False,False,False,False
51650,False,False,True,False,False,False,False,False,False,False
68425,False,False,False,False,False,False,False,False,False,True
40392,False,False,False,False,False,False,False,False,True,False
87448,False,True,False,False,False,False,False,False,False,False
82892,False,False,True,False,False,False,False,False,False,False
57876,False,False,False,False,False,False,False,False,True,False
83383,False,False,False,False,False,False,False,False,True,False
84324,False,False,False,False,False,False,True,False,False,False
66799,False,False,True,False,False,False,False,False,False,False
68927,False,False,False,False,True,False,False,False,False,False
102248,False,False,False,False,False,False,False,False,False,True
66851,False,False,False,False,False,False,False,False,True,False
30141,False,True,False,False,False,False,False,False,False,False
84312,False,False,False,False,False,False,False,False,False,True
23717,True,False,False,False,False,False,False,False,False,False
75850,False,False,False,False,False,False,True,False,False,False
22800,False,False,False,False,False,False,False,False,True,False
76661,False,True,False,False,False,False,False,False,False,False
51136,False,False,False,True,False,False,False,False,False,False
89863,False,False,False,False,False,False,False,True,False,False
6579,False,False,False,False,False,False,False,False,False,True
82549,False,False,True,False,False,False,False,False,False,False
12055,False,False,True,False,False,False,False,False,False,False
83460,False,False,False,False,False,False,False,False,True,False
92678,False,False,False,False,True,False,False,False,False,False
28565,False,False,False,False,False,False,False,False,True,False
83468,False,False,False,False,False,False,False,False,False,True
70153,False,False,False,False,False,False,False,False,False,True
51873,False,False,False,False,False,False,False,True,False,False
80637,False,False,False,False,False,False,False,False,True,False
56912,False,False,False,False,False,False,False,False,False,True
22934,False,False,False,False,False,False,False,True,False,False
11244,False,False,True,False,False,False,False,False,False,False
72244,False,False,False,False,False,True,False,False,False,False
36541,False,False,False,False,False,False,False,True,False,False
89165,False,False,False,False,False,False,True,False,False,False
202,False,False,False,False,False,False,True,False,False,False
89777,False,False,True,False,False,False,False,False,False,False
50979,False,False,False,False,True,False,False,False,False,False
50136,False,False,False,False,False,False,True,False,False,False
91526,False,False,False,False,False,False,False,True,False,False
98737,False,False,False,True,False,False,False,False,False,False
7258,False,False,False,False,False,False,False,False,True,False
78684,False,False,False,False,True,False,False,False,False,False
69452,False,False,False,True,False,False,False,False,False,False
48274,False,False,False,False,False,False,False,False,True,False
51183,False,False,False,False,False,False,False,False,False,True
8479,False,False,False,False,True,False,False,False,False,False
77766,False,False,True,False,False,False,False,False,False,False
17455,False,False,False,True,False,False,False,False,False,False
7906,False,False,False,False,False,False,False,False,True,False
81560,False,False,True,False,False,False,False,False,False,False
44261,False,False,False,False,False,False,False,False,False,True
86754,False,True,False,False,False,False,False,False,False,False
68450,False,False,False,False,False,False,False,False,True,False
91191,False,False,False,False,False,False,False,True,False,False
86917,False,False,True,False,False,False,False,False,False,False
63657,False,False,True,False,False,False,False,False,False,False
83200,False,False,True,False,False,False,False,False,False,False
56263,False,True,False,False,False,False,False,False,False,False
35233,False,False,False,True,False,False,False,False,False,False
40469,False,False,False,False,False,False,False,False,True,False
33611,False,False,False,False,False,False,False,True,False,False
88865,False,False,False,False,False,False,False,True,False,False
28326,False,False,False,False,False,True,False,False,False,False
84837,False,True,False,False,False,False,False,False,False,False
45586,False,False,False,False,False,True,False,False,False,False
63524,False,False,True,False,False,False,False,False,False,False
1674,True,False,False,False,False,False,False,False,False,False
33339,False,False,False,False,False,False,False,False,True,False
78422,False,False,False,False,False,True,False,False,False,False
88063,False,False,False,True,False,False,False,False,False,False
75957,False,False,False,False,False,False,False,False,True,False
1230,False,True,False,False,False,False,False,False,False,False
94086,False,False,False,False,False,False,False,False,True,False
70406,False,False,False,False,False,False,False,True,False,False
98977,False,False,True,False,False,False,False,False,False,False
50744,False,False,False,False,False,False,False,True,False,False
44768,False,False,False,False,False,False,False,True,False,False
24906,False,False,False,False,False,True,False,False,False,False
18599,False,False,False,False,False,False,True,False,False,False
37702,False,False,True,False,False,False,False,False,False,False
46838,False,False,False,False,True,False,False,False,False,False
48882,False,False,False,False,False,False,False,False,False,True
47561,False,False,False,True,False,False,False,False,False,False
68563,False,False,False,False,False,True,False,False,False,False
16060,False,False,False,False,False,False,False,False,True,False
92476,False,True,False,False,False,False,False,False,False,False
78270,False,True,False,False,False,False,False,False,False,False
59745,False,False,False,False,True,False,False,False,False,False
23094,False,False,False,False,False,False,False,False,False,True
18062,False,False,True,False,False,False,False,False,False,False
59310,False,False,False,True,False,False,False,False,False,False
80874,False,False,True,False,False,False,False,False,False,False
14465,False,False,True,False,False,False,False,False,False,False
96168,False,False,True,False,False,False,False,False,False,False
