dog_id,pa_hot_weather_daily_hours_outside,pa_cold_weather_daily_hours_outside,pa_moderate_weather_daily_hours_outside
88840,1.0,1.0,2.0
82974,1.0,1.0,1.0
67773,1.0,1.0,2.0
97144,2.0,2.0,2.0
71757,1.0,1.0,2.0
1934,1.0,1.0,1.0
79728,1.0,1.0,2.0
37924,1.0,1.0,2.0
93175,1.0,1.0,1.0
29729,5.0,5.0,1.0
94103,1.0,1.0,1.0
64001,5.0,5.0,1.0
83218,1.0,2.0,1.0
47897,1.0,1.0,1.0
26924,1.0,1.0,1.0
50149,2.0,2.0,2.0
32608,1.0,1.0,1.0
72341,1.0,1.0,2.0
57877,5.0,1.0,2.0
60766,1.0,1.0,1.0
11441,1.0,1.0,1.0
53495,4.0,4.0,4.0
93192,1.0,1.0,1.0
76934,1.0,3.0,3.0
93545,5.0,2.0,1.0
332,1.0,1.0,1.0
63683,5.0,5.0,5.0
82216,5.0,5.0,1.0
42944,1.0,1.0,2.0
78552,1.0,1.0,2.0
76436,1.0,1.0,2.0
52686,1.0,1.0,1.0
91111,1.0,1.0,1.0
60227,5.0,5.0,1.0
92918,1.0,1.0,2.0
90007,1.0,1.0,1.0
88499,1.0,1.0,1.0
71288,1.0,1.0,1.0
2172,1.0,1.0,1.0
83980,2.0,2.0,2.0
95593,1.0,2.0,2.0
90082,1.0,1.0,1.0
613,1.0,1.0,1.0
67331,1.0,1.0,2.0
78136,1.0,1.0,2.0
32959,1.0,2.0,2.0
95378,1.0,1.0,2.0
39609,1.0,1.0,1.0
44855,5.0,5.0,1.0
98365,1.0,1.0,1.0
86392,1.0,1.0,2.0
78286,5.0,1.0,2.0
67276,1.0,1.0,1.0
19291,1.0,1.0,2.0
23149,1.0,1.0,1.0
93825,2.0,2.0,2.0
59111,1.0,1.0,1.0
2010,5.0,5.0,5.0
61024,1.0,1.0,1.0
75397,1.0,5.0,1.0
87435,1.0,5.0,1.0
90058,1.0,1.0,1.0
98426,1.0,2.0,1.0
42896,1.0,1.0,1.0
28651,1.0,1.0,1.0
41099,1.0,1.0,1.0
1033,1.0,1.0,2.0
79350,1.0,1.0,1.0
32823,1.0,1.0,1.0
27014,1.0,1.0,2.0
32428,1.0,1.0,1.0
91178,5.0,5.0,5.0
6180,1.0,5.0,1.0
8811,2.0,1.0,3.0
58982,1.0,1.0,1.0
60109,1.0,1.0,1.0
62658,1.0,1.0,1.0
55971,1.0,1.0,1.0
69531,5.0,1.0,1.0
88233,1.0,1.0,1.0
102013,2.0,2.0,2.0
103266,1.0,1.0,1.0
67635,1.0,1.0,1.0
47399,1.0,1.0,2.0
45670,5.0,5.0,1.0
76682,1.0,1.0,1.0
58784,5.0,1.0,1.0
20048,1.0,1.0,1.0
86192,1.0,1.0,1.0
21997,2.0,1.0,2.0
70822,1.0,1.0,2.0
82179,1.0,1.0,1.0
56462,1.0,1.0,2.0
57136,2.0,2.0,2.0
37466,1.0,1.0,1.0
15544,1.0,1.0,1.0
62457,1.0,1.0,1.0
23176,1.0,1.0,1.0
13352,1.0,1.0,1.0
31956,1.0,1.0,2.0
6054,1.0,1.0,1.0
12376,5.0,1.0,1.0
93453,1.0,1.0,1.0
88669,1.0,1.0,1.0
96178,5.0,5.0,1.0
62496,2.0,1.0,2.0
89608,1.0,1.0,1.0
33554,1.0,1.0,2.0
85388,1.0,1.0,2.0
95603,1.0,1.0,2.0
53971,1.0,1.0,2.0
28245,1.0,1.0,2.0
37015,1.0,1.0,1.0
82490,1.0,1.0,1.0
25726,1.0,1.0,2.0
85319,1.0,1.0,2.0
99822,2.0,2.0,2.0
42423,1.0,1.0,1.0
75205,1.0,1.0,1.0
35793,1.0,1.0,1.0
37990,1.0,1.0,1.0
86071,1.0,1.0,2.0
97280,1.0,1.0,1.0
38193,5.0,5.0,1.0
90516,1.0,2.0,1.0
10438,1.0,1.0,1.0
85800,1.0,1.0,1.0
20976,1.0,1.0,1.0
77456,2.0,1.0,2.0
83282,5.0,5.0,1.0
54310,1.0,1.0,1.0
5475,1.0,2.0,2.0
84621,1.0,1.0,1.0
34992,5.0,5.0,1.0
53462,1.0,1.0,2.0
53271,1.0,1.0,2.0
94829,5.0,5.0,1.0
69077,1.0,1.0,1.0
78202,1.0,1.0,1.0
98920,1.0,1.0,2.0
14934,2.0,2.0,2.0
52825,1.0,1.0,2.0
90261,1.0,1.0,1.0
65897,1.0,1.0,2.0
62555,2.0,1.0,3.0
1285,1.0,1.0,2.0
55589,1.0,1.0,1.0
47558,1.0,1.0,1.0
89151,1.0,1.0,1.0
62111,2.0,2.0,2.0
71359,5.0,5.0,1.0
51533,1.0,1.0,2.0
17048,1.0,1.0,1.0
94935,5.0,5.0,1.0
88088,1.0,1.0,1.0
97453,1.0,1.0,1.0
92506,1.0,1.0,1.0
74996,1.0,1.0,2.0
13830,1.0,1.0,2.0
78384,1.0,1.0,2.0
77932,2.0,1.0,2.0
75046,1.0,1.0,1.0
60283,5.0,5.0,1.0
58459,5.0,5.0,1.0
238,1.0,1.0,2.0
61585,1.0,1.0,2.0
35607,1.0,1.0,1.0
96737,1.0,1.0,1.0
84666,1.0,1.0,1.0
40243,2.0,1.0,2.0
89813,2.0,1.0,2.0
79607,1.0,1.0,1.0
92979,1.0,2.0,2.0
2013,5.0,1.0,1.0
96056,1.0,1.0,2.0
65035,1.0,1.0,1.0
68784,2.0,1.0,2.0
75198,1.0,1.0,1.0
46475,5.0,5.0,5.0
18480,1.0,1.0,1.0
87072,2.0,1.0,2.0
72680,1.0,1.0,1.0
25690,1.0,1.0,1.0
70512,1.0,1.0,1.0
80946,5.0,1.0,1.0
89974,5.0,5.0,1.0
12485,2.0,2.0,2.0
61955,2.0,2.0,2.0
43603,1.0,1.0,2.0
29636,1.0,1.0,1.0
28142,1.0,1.0,1.0
36998,1.0,1.0,1.0
45494,1.0,5.0,1.0
96194,2.0,2.0,2.0
